Customer ID,Age,Gender,Location,Annual Income,Purchase History,Browsing History,Product Reviews,Time on Site,Review Rating,Review Text,Sentiment Score,Sentiment Label
1001,25,Female,City D,45000,"[{'Date': '2022-03-05', 'Category': 'Clothing', 'Price': 34.99}, {'Date': '2022-02-12', 'Category': 'Electronics', 'Price': 129.99}, {'Date': '2022-01-20', 'Category': 'Home & Garden', 'Price': 29.99}]","[{'Timestamp': '2022-03-10T14:30:00Z'}, {'Timestamp': '2022-03-11T09:45:00Z'}, {'Timestamp': '2022-03-12T16:20:00Z'}]",,32.5,0.0,No Review,-0.296,Negative
1001,28,Female,City D,52000,"[{'Product Category': 'Clothing', 'Purchase Date': '2022-05-15', 'Price': 34.56}, {'Product Category': 'Electronics', 'Purchase Date': '2022-06-02', 'Price': 150.99}]","[{'Product Category': 'Home & Garden', 'Timestamp': '2022-05-12T13:30:00Z'}, {'Product Category': 'Electronics', 'Timestamp': '2022-06-05T08:45:00Z'}]",,123.45,0.0,No Review,-0.296,Negative
1001,28,Female,City D,65000,"[{'Product Category': 'Electronics', 'Purchase Date': '2022-08-15', 'Price': 345.5}, {'Product Category': 'Home & Garden', 'Purchase Date': '2022-07-02', 'Price': 279.99}]","[{'Product Category': 'Clothing', 'Timestamp': '2022-09-03 15:30:00'}, {'Product Category': 'Electronics', 'Timestamp': '2022-09-01 10:15:00'}]",,125.6,0.0,No Review,-0.296,Negative
1001,45,Female,City D,70000,"[{'Purchase Date': '2022-08-15', 'Product Category': 'Electronics', 'Price': 200.5}]",[{'Timestamp': '2022-09-03 14:30:00'}],"{'Product 1': {'Rating': 4, 'Review': 'Great experience buying this product. Fast delivery and excellent customer service.'}}",327.6,4.0,Great experience buying this product. Fast delivery and excellent customer service.,0.8316,Positive
1002,34,Male,City E,45000,"[{'Purchase Date': '2022-07-25', 'Product Category': 'Clothing', 'Price': 67.2}]",[{'Timestamp': '2022-08-10 17:15:00'}],"{'Product 1': {'Rating': 3, 'Review': 'Good product, but could have been better.'}}",214.9,3.0,"Good product, but could have been better.",0.7003,Positive
1003,56,Other,City F,90000,"[{'Purchase Date': '2022-09-01', 'Product Category': 'Electronics', 'Price': 300.2}]",[{'Timestamp': '2022-06-25 10:45:00'}],"{'Product 1': {'Rating': 5, 'Review': 'Awesome product, highly recommend it to everyone.'}}",486.3,5.0,"Awesome product, highly recommend it to everyone.",0.7841,Positive
1004,29,Female,City G,60000,"[{'Purchase Date': '2022-07-20', 'Product Category': 'Electronics', 'Price': 150.8}]",[{'Timestamp': '2022-08-15 13:20:00'}],"{'Product 1': {'Rating': 4, 'Review': 'Great product, will definitely buy again.'}}",378.5,4.0,"Great product, will definitely buy again.",0.7783,Positive
1005,42,Male,City H,75000,"[{'Purchase Date': '2022-08-28', 'Product Category': 'Electronics', 'Price': 250.6}]",[{'Timestamp': '2022-09-12 16:35:00'}],"{'Product 1': {'Rating': 3, 'Review': 'Good product, but not worth the price.'}}",289.8,3.0,"Good product, but not worth the price.",-0.0127,Neutral
1006,51,Other,City I,85000,"[{'Purchase Date': '2022-09-05', 'Product Category': 'Electronics', 'Price': 400.9}]",[{'Timestamp': '2022-06-28 09:00:00'}],"{'Product 1': {'Rating': 5, 'Review': 'Outstanding product, exceeded my expectations.'}}",456.2,5.0,"Outstanding product, exceeded my expectations.",0.6124,Positive
1007,36,Female,City J,55000,"[{'Purchase Date': '2022-07-27', 'Product Category': 'Electronics', 'Price': 120.5}]",[{'Timestamp': '2022-08-17 14:50:00'}],"{'Product 1': {'Rating': 4, 'Review': 'Good product, but could have been better.'}}",334.9,4.0,"Good product, but could have been better.",0.7003,Positive
1008,48,Male,City K,80000,"[{'Purchase Date': '2022-09-08', 'Product Category': 'Electronics', 'Price': 350.2}]",[{'Timestamp': '2022-06-30 11:15:00'}],"{'Product 1': {'Rating': 3, 'Review': 'Good product, but not what I expected.'}}",298.6,3.0,"Good product, but not what I expected.",0.2382,Positive
1009,25,Other,City L,40000,"[{'Purchase Date': '2022-08-25', 'Product Category': 'Electronics', 'Price': 170.8}]",[{'Timestamp': '2022-09-14 10:00:00'}],"{'Product 1': {'Rating': 4, 'Review': 'Great product, will definitely buy again.'}}",312.5,4.0,"Great product, will definitely buy again.",0.7783,Positive
